ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Default shop
35;1;Volume&Care Lash Creator Mascara One Size Black;10;8.5;;;;;;;;dm_35;;Deborah Milano;Deborah Milano;8009518048391;;;;;;2.5;10;;;;;;Latest generation mascara combining lash care with enhanced volume Formulated with Keratin Lash Booster DH Complex for up to 48 added lash volume after just 30 days Regular use leads to a significant reduction in eyelash loss Hypoallergenic;Latest generation mascara combining lash care with enhanced volume Formulated with Keratin Lash Booster DH Complex for up to 48 added lash volume after just 30 days Regular use leads to a significant reduction in eyelash loss Hypoallergenic;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/74f70814-4-lashcreater-extra-volumecare-m.jpg;;;;;;;;;;;;;Sale
37;1;Absolute Hi-Tech Mascara One Size Black;10;9.2;;;;;;;;dm_37;;Deborah Milano;Deborah Milano;8009518120165;;;;;;2.3;10;;;;;;3in1 mascara volume length definition The revolutionary patented multibenefit wand consists of 24 spiral rings that capture each individual eyelash and produce an absolute 3D effect The wand releases just the right amount of mascara leaving lashes lengthened volumized and defined Ophthalmologist tested;3in1 mascara volume length definition The revolutionary patented multibenefit wand consists of 24 spiral rings that capture each individual eyelash and produce an absolute 3D effect The wand releases just the right amount of mascara leaving lashes lengthened volumized and defined Ophthalmologist tested;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/ffe68507-7-absolute-hi-tec-mascara.jpg;;;;;;;;;;;;;Sale
38;1;Extra Volume Sprint Mascara One Size Black;10;7.5;;;;;;;;dm_38;;Deborah Milano;Deborah Milano;8009518118810;;;;;;2.7;10;;;;;;Extra lashthickening mascara with maxisized applicator for an amazing volume effect Triple Carbon Black DH Complexenriched formula coats lashes in the blackest of black colour Ophthalmologist tested;Extra lashthickening mascara with maxisized applicator for an amazing volume effect Triple Carbon Black DH Complexenriched formula coats lashes in the blackest of black colour Ophthalmologist tested;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/b4fc2dde-a-volume-sprint-mascara.jpg;;;;;;;;;;;;;Sale
44;1;Definitive Volume&Curl Mascara One Size Blue;10;8.5;;;;;;;;dm_44;;Deborah Milano;Deborah Milano;8009518116106;;;;;;2.4;10;;;;;;"Lash volumizing mascara featuring an innovative multibenefit applicator to separate sculpt and volumize the lashes With Lash Booster DH for a nourishing strengthening effect
Ophthalmologist tested";"Lash volumizing mascara featuring an innovative multibenefit applicator to separate sculpt and volumize the lashes With Lash Booster DH for a nourishing strengthening effect
Ophthalmologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/2e328b4e-d-definative-volumecurl-mascara.jpg;;;;;;;;;;;;;Sale
45;1;Definitive Volume&Curl Mascara One Size Brown;10;8.5;;;;;;;;dm_45;;Deborah Milano;Deborah Milano;5052172999984;;;;;;2.4;10;;;;;;"Lash volumizing mascara featuring an innovative multibenefit applicator to separate sculpt and volumize the lashes With Lash Booster DH for a nourishing strengthening effect
Ophthalmologist tested";"Lash volumizing mascara featuring an innovative multibenefit applicator to separate sculpt and volumize the lashes With Lash Booster DH for a nourishing strengthening effect
Ophthalmologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/2e328b4e-d-definative-volumecurl-mascara.jpg;;;;;;;;;;;;;Sale
46;1;Definitive Volume&Curl Mascara One Size Black;10;8.5;;;;;;;;dm_46;;Deborah Milano;Deborah Milano;8009518116090;;;;;;2.4;10;;;;;;"Lash volumizing mascara featuring an innovative multibenefit applicator to separate sculpt and volumize the lashes With Lash Booster DH for a nourishing strengthening effect
Ophthalmologist tested";"Lash volumizing mascara featuring an innovative multibenefit applicator to separate sculpt and volumize the lashes With Lash Booster DH for a nourishing strengthening effect
Ophthalmologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/2e328b4e-d-definative-volumecurl-mascara.jpg;;;;;;;;;;;;;Sale
47;1;Definitive Volume Mascara One Size Black;10;8.5;;;;;;;;dm_47;;Deborah Milano;Deborah Milano;8009518112825;;;;;;2.2;10;;;;;;"The formula nbsp a creamy emulsion featuring prime
raw materials
Lashes are coated with a supple longlasting film
that feels soft and flexible";"The formula nbsp a creamy emulsion featuring prime
raw materials
Lashes are coated with a supple longlasting film
that feels soft and flexible";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/10663bfd-3-definative-volume-mascara.jpg;;;;;;;;;;;;;Sale
49;1;Black + Long Mascara One Size Black;10;8.5;;;;;;;;dm_49;;Deborah Milano;Deborah Milano;8009518110432;;;;;;2.1;10;;;;;;"Mascara formulation for incredibly long and amazingly black lashes Special carbon Black Complex makes eyes
irresistibly seductive Ophthalmologist tested";"Mascara formulation for incredibly long and amazingly black lashes Special carbon Black Complex makes eyes
irresistibly seductive Ophthalmologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/ada9f3c8-1-b65dbc22-d-blacklong-mascara.jpg;;;;;;;;;;;;;Sale
50;1;Black + Long Waterproof Mascara One Size Brown;10;8.5;;;;;;;;dm_50;;Deborah Milano;Deborah Milano;8009518116816;;;;;;2.5;10;;;;;;For incredible length and dramatic lashes ultralong wearing waterproof formulation Ophthalmologist tested;For incredible length and dramatic lashes ultralong wearing waterproof formulation Ophthalmologist tested;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/3e40a8f3-0-7722188f-f-blacklong-mascara-w.jpg;;;;;;;;;;;;;Sale
51;1;Black + Long Waterproof Mascara One Size Black;10;8.5;;;;;;;;dm_51;;Deborah Milano;Deborah Milano;8009518116755;;;;;;2.5;10;;;;;;For incredible length and dramatic lashes ultralong wearing waterproof formulation Ophthalmologist tested;For incredible length and dramatic lashes ultralong wearing waterproof formulation Ophthalmologist tested;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/3e40a8f3-0-7722188f-f-blacklong-mascara-w.jpg;;;;;;;;;;;;;Sale
