ID;Active (0/1);Manufacturer;Family;Categories (x,y,z...);Image URLs (x,y,z...);Name *;Short description;Description;Volume;Weight;Width;Height;Depth;Reference #;EAN13;UPC;ASIN;ART;Reference;Default shop;Base price;Wholesale price;Price tax excluded or Price tax included;Quantity;Status
1;1;L'Erboristica by Athena's;;Anti-aging,Moisturiser;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;Face Cream First Wrinkles with Sweet Almond Oil;"Fluid and light texture, based on sweet almond oil, specifically formulated to prevent and fight the early signs of aging, caused by the gradual loss of hydration and physiologic retardation of cell regeneration.
A special moisturising cream, rich in functional vegetable ingredients which ensure balanced hydration throughout the day.";"This Face cream first wrinkles has a fluid 
and light texture, offers all the advantages and properties of sweet 
almond oil, an oil from the incredible firming, nourishing and 
elasticizing properties.
Specifically formulated to prevent Êand fight Êthe early 
Êsigns of aging, caused by the gradual loss of hydration and physiologic
retardation of cell regeneration. A special moisturizing cream, rich in
functional vegetable ingredients which ensure balanced hydration 
throughout the day.
Designed to be a reference to health and nourishment for 
younger skins, who want to be prepared to the appeal of time passing. 
The presence of Hyaluronic Acid makes it a ideal daily treatment for 
maintaining elasticity and smoothness, enhancing the brightness of the 
skin. The innovative ingredient Bakuchiol potentiates the antioxidant, 
protective and regenerating strength of this cream. Is an excellent base
for Make-up";50;;;;;ea;;;;1006970;EA1006970;Main;;;£12.50;6;1
1;1;L'Erboristica by Athena's;;Lotion;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;Fluid Body Cream with Sweet Almond Oil;"Nourishing, Restorative, Silky smooth, For dry and washed-out skin.
Sweet almond oil fluid body cream. Ideal for the treatment of dry, dull, tired and toneless skin. Maintains hydration, leaving the skin soft and silky.";"This natural body cream with a fluid consistency and a delicate almond scent, possesses all of the properties of Sweet Almond Oil, enhanced by the combined action of Jojoba Oil and Shea butter. Elasticising, restorative and firming, it is a genuine pleasure to abandon yourself to an all-over massage and
feel the skin becoming soft and toned beneath your fingers.
The presence of essential fatty acids (omega 3 and omega 6) and vitamin E, make this cream ideal for rounding off your treatment for dry and dehydrated skin.
Preserving and extending the hydration is betaine, a sugar cane extract that works with the almond oil to make the skin supple and prevent 
stretch marks.
";200;;;;;ea;;;;1007024;EA1007024;Main;;;£5.99;6;1
1;1;L'Erboristica by Athena's;;Hands;;Hand & Nails Cream with Sweet Almond Oil;"Nourishing, Regenerative, Silky effect. Hand and nail cream with Almond oil.
Non-greasy. Rapid absorption. Leaves the hands soft and silky. It 
prevent redness and protect the skin against aggressive external 
factors.";"Created by AthenaÕs Laboratories, this soft and delicate cream protects your hands and nails against aggressive external agents such as cold weather, chemical products, dirt and dust and frequent washing. This non-greasy, easily absorbed cream is rich in omegas 3 and 6, which create a natural protective barrier.
Meanwhile the high levels of shea butter and jojoba oil protect against a harmful climate. The presence of olive oil unsaponifiables and vitamin E make this cream the perfect ally in the fight against chapping, redness and dryness. The almond oil hydrates the hands, leaving them soft and silky, whilst at the same time strengthening nails and cuticles.
";75;;;;;ea;;;;1006997;EA1006997;Main;;;£4.50;6;1
1;1;L'Erboristica by Athena's;;Serum,Anti-aging;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;Multi-Active Facial Night Serum with Argan oil and vegetable ceramides;"Anti-wrinkle. Multi-reparative. Regenerative. Multi-ActiveFacial Night Serum with argan oil and vegetable ceramides for an 
immediate anti-ageing action.
Tones and regenerates, visibly shrinking wrinkles, leaving the skin more compact and relaxed.";"This light and fluid natural facial night serum is a genuine anti-ageing treatment,intense and effective, capable of reactivating the most important regenerative functions of the skin while you sleep.Night after night, it tones and regenerates the skin, visibly shrinking wrinkles and relaxing the features of the face. Upon awakening, the skin looks fresh, vital and refreshed, thanks to an oxygenating and energising concentrate of phytoextracts and vegetable oils that stimulate cell regeneration.
The vegetable ceramides contained in this extraordinary serum encourage interaction between cells and collagen 
fibres, guaranteeing the skinÕs cohesion and elasticity, while at the 
same time activating natural reparation and protection mechanisms that slow down the ageing process caused by daily environmental stresses and strains. The precious elixir of beauty that is argan oil
brings an added brightness and compactness to the complexion. With 
repeated use comes a significant reduction in all of the signs of 
ageing, as well as a prevention of the formation of free radicals, and a
redesigning and toning of the very shape of the face.
Contains an incredible range of 100% natural active principles,
including the all-important phytosome ginseng. Moisturises, smoothes, compacts and tones, even the most stressed and exhausted skin.
";30;;;;;ea;;;;1007065;EA1007065;Main;;;£18.95;6;1
1;1;L'Erboristica by Athena's;;Anti-aging;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;Intensive Reparative Face Treatment with argan oil and organic hyaluronic acid;"Anti-wrinkle. Hydrating. Tissue-redensifying. Fights the signs of ageing.
Natural face cream with argan oil and organic hyaluronic acid, which visibly 
counteracts the signs of ageing, smoothing lines, reshaping the face and redensifying tissue.";"Once you turn 30, your skin needs help to combat the 
signs of ageing and to address the gradual loss of hydration and 
firmness. This facial treatment with argan oil and hyaluronic acid contains 100% natural active principles, masterfully balanced, offering the right support against wrinkles, lack of tone and dehydration.
Each ingredient has been selected by AthenaÕs Laboratories to perform a very specific function, aimed at smoothing lines, reshaping the face, redensifying tissue or compacting the skin.
Argan oil stimulates the natural production of collagen and elastin,
visibly shrinking wrinkles and expression lines and encouraging 
oxygenation and cell regeneration.Meanwhile, organic hyaluronic acid, derived from an ancient fungus 
that grows only in the mountainous areas of Fujian in China and Taiwan, 
is a powerful moisturiser that can bind itself to the water molecules 
contained in your skin. This gives it an unparalleled antioxidant action, enabling it to prevent ageing and leave the skin soft and silky.To combat dry, mature skin, there is extract of ginkgo biloba, which tones and stimulates circulation, making it ideal for a devitalised epidermis.Then there is seaweed extract (Gumlange¨), which forms a highly hydrating protective film, retaining water molecules and plumping up the surface of the skin.Finally, Oleox 105¨ is a concentrate of polyphenols with a powerful antioxidant action that fights the formation of the free radicals that are responsible for skin ageing.
";50;;;;;ea;;;;1007009;EA1007009;Main;;;£12.50;6;1
1;1;L'Erboristica by Athena's;;Oil,Moisturiser,Anti-aging;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;ELISIR SUPREMO - Perfumed body oil With camellia japonica oil;"Moisturizing, repairing and velveting perfumed body oil with camellia japonica oil.
Completely natural formula that combines in one single product sublime fragrance and body treatment.
";"In AthenaÕs Laboratory oils and extracts of 
essential oils have always had the main role in the formulations. 
Natural oils, whose main constituents are essential fatty acids, are 
absolutely vital to the well-being of our skin, and work proactively to 
maintain skin tone and strengthen the skinÕs moisture barrier
For this reason it was created ELISIR SUPREMO, a perfumed 
body oil with oil of Camellia Japonica, a blend of precious natural oils
that act synergistically to maintain the skin tone.
The formula, completely natural, affects us to the touch, 
for its light texture, and smell, for its extremely sensual fragrance. 
This oil, which combines, in a single product, sublime fragrance and 
body treatment, blends with skin and wraps with a veil of seductive fragrance.

The Camellia Oil, from the proven anti-aging action, has been carefully
blended with Macadamia oil and Jojoba oil, in order to ensure the 
highest degree of softness, hydration and elasticity.

The presence of natural vitamin E, essential fatty acids Omega 3 and 
Omega 6, bring vitality and antioxidant protection. The skin is smooth, 
luminous and shines with youthful and feminine fragrance
The citrus harmony of bitter orange and Lily of the
Valley leaves soon to floral and sensual allure of Petitgrain and 
jasmine, to the most persistent Woody base of vanilla, sandalwood and 
Musk, which give to the body a valuable and fascinating charm.
";100;;;;;ea;;;;1006960;EA1006960;Main;;;£10.99;6;1
1;1;L'Erboristica by Athena's;;Oil,Moisturiser,Anti-aging;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;ELISIR SUPREMO - Perfumed body oil With patchouli and Nerol“ essential oils;"Toning, revitalizing and soothing. 
Perfumed body oil with Patchouli and Nerol“Êis a beauty treatment for the body 
with a velvety and light texture, with its precious and seductive fragrance.
";"In AthenaÕs Laboratory oils and extracts of 
essential oils have always had the main role in the formulations. 
Natural oils, whose main constituents are essential fatty acids, are 
absolutely vital to the well-being of our skin, and work proactively to 
maintain skin tone and strengthen the skinÕs moisture barrier
For this reason it was created ELISIR SUPREMO, a perfumed 
body oil with oil of Patchouli and Nerol“, a blend of precious natural 
oils that act synergistically to maintain the skin tone
This body oil, all-natural formula, brings together in a 
single product the heady oriental scent and a full beauty treatment for 
the body. Its velvety texture and slight merges with the skin, 
immediately releasing all its precious fragrance.
Contains a generous mix of plant essential oils such as 
Patchouli, Neroli, Cedar, Vetiver of Java and Cinnamon, selected for 
their synergistic action toning, moisturizing and revitalizing. The rice
and Jojoba oils have restorative and elasticizing properties. The skin 
is nourished and glowing, silky to the touch and radiates youth
Initially the sparkling notes of Neroli and rose Pepper 
give vitality; then, the fragrance leaves room for more Woody base and 
enveloping notes, with hints of Patchouli, Tobacco and Vetiver.
";100;;;;;ea;;;;1006961;EA1006961;Main;;;£10.99;6;1
1;1;L'Erboristica by Athena's;;Cleanser & Face Wash;;Cleasing Facial Emulsion Dermo-Purifying;"Sebum-balancing and soothing
Purifying facial cleanser for combination and impure skin. Sebum-balancing and soothing. Ensures your skin is deep cleansed and purified.";"This delicate cleansing facial emulsion is designed for daily use
in T-zone treatment for combination and impure skin types. When used, 
the cleansing emulsion becomes lightly foamy, thanks to the purifying 
properties of the wholly natural surfactants.
Removes make-up easily and provides a deep cleansing, while respecting the extreme sensitivity
of your skin. Removes impurities and residual make-up from the pores 
with the help of natural bactericides used in the food industry.
";150;;;;;ea;;;;6500;EA6500;Main;;;£7.50;6;1
1;1;L'Erboristica by Athena's;;Cleanser & Face Wash;https://drive.google.com/drive/u/0/folders/0B5KHR8oiWOnASmNRLUlfZFpxME0/0B5KHR8oiWOnAflFXZFYwR3RmWTZ0VHA2aHVscTNqLVl5anpjS0VaX2FJaXVKdThBMDBuVTQ/0BwJ0gBeyl6LyflM1WDNLT0VzaUFzQm53NjNJWWdqdjM5djF1YXA0SHg0eFozZEM1OENCZEE/0B5KHR8oiWOnAfnVQc1FIVllDbWxOTlExY1Rhb2ZVdTNzSWFJY0hoMUZjc2dJS1h6cGJxcmM;Exfoliating Face Cream With bamboo microspheres.;"Dermo-purifying, Smoothing, Regenerating.
Exfoliating face cream for combination and impure skin, with bamboo microspheres. Restores smoothness and radiance to the skin.";"Specifically formulated for combination and impure skin types,
which may leave the forehead, nose and chin shiny from an 
overproduction of sebum, while the cheeks can appear dry and listless. 
As well as daily cleansing agents, this Purysens exfoliating cream contains bamboo microspheres for a deep and gentle clean.
Used twice weekly, the gentle exfoliation of the microspheres frees 
clogged pores and removes dead skin. It also removes excess sebum, which
by blocking oxygen flow and skin cell renewal, causes spots and 
blackheads.
This exfoliating cream is easy and pleasant to use. The mechanical 
action of the bamboo microspheres targets the imperfections of 
combination and impure skin types, restoring the smooth, radiant, 
uniform complexion that every woman desires.
Exfoliation is the perfect preparation for the absorption of cream or
a face mask. Also effective for acne-prone skin, the formulation is 
rich in active ingredients carefully selected for the welfare of skin 
that is prone to impurities.
";75;;;;;ea;;;;6501;EA6501;Main;;;£6.95;6;1
1;1;L'Erboristica by Athena's;;Face Masks;;Pink Clay Face Mask;"Purifying. Hydrating. Reoxygenating Pink Rose Face Mask
for combination and impure skin types or skin with acne. The purifying,
hydrating and reoxygenating action helps to eliminate impurities and 
absorb excess sebum.
";"This pink clay face mask is extremely soft to the touch and has an incredible skin-like feel. Specifically formulated for combination and impure skin types, which may result in a glossy and bloated T-zone and dry cheeks. This mask gently absorbs impurities and excess sebum. It is ideal for prolonged applications, does not dry and does not create that nagging sensation of tightness.
The prolonged application allows the active principles to really get 
to work, oxygenating the skin and gently absorbing impurities and excess
sebum. It also eliminates dead cells, thanks to the high concentration 
of pink clay, which repairs red and dehydrated areas of the face.
The formula is rich in natural soothing ingredients such as calendula 
oil, macadamia oil, shea butter, linseed oil, aloe vera and rice starch,
which exert a powerful moisturising and balancing action. Exclusive 
anti-imperfection and remineralising ingredients complete the formula.
";75;;;;;ea;;;;6502;EA6502;Main;;;£8.90;6;1
